,Title,Published_date,Views,Likes,Comments,Month
74,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,22719,708,326,Dec
75,7 Things to Look For in a Masters For Data Science (feat. @Tina Huang),2020-11-20,24664,770,166,Nov
76,6 Lessons from #66DaysOfData,2020-11-13,6603,339,95,Nov
77,100K Channel Update + AMA Stream!,2020-11-12,2315,128,24,Nov
78,Find a Data Science Project With These 3 Techniques,2020-11-06,15393,659,101,Nov
79,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,23577,620,154,Oct
80,git for Data Science Made Simple... (Hopefully),2020-10-23,16428,779,92,Oct
81,The PODCAST you might have asked for?,2020-10-19,2034,94,44,Oct
82,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,6568,444,113,Oct
83,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,12528,374,48,Oct
84,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,6080,133,62,Oct
85,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,9297,496,81,Oct
86,Sh*t Data Scientists Say (Parody),2020-10-05,9120,571,142,Oct
87,5 Proven Strategies to Break into a Data Science Job,2020-10-02,8481,366,93,Oct
88,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,6939,284,61,Sep
89,Data Science Resume Round-Up With @Tina Huang  - Episode 1,2020-09-28,10784,281,69,Sep
90,5 Essential Data Science Projects for Your Portfolio,2020-09-26,67241,2946,204,Sep
91,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,5043,193,66,Sep
92,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,9979,402,58,Sep
93,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,7213,249,34,Sep
94,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,5025,192,56,Sep
95,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,3995,154,35,Sep
96,The 5 Pillars of Success I Live By,2020-09-11,9998,871,153,Sep
97,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1870,78,25,Sep
98,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,3873,157,43,Sep
99,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,11316,723,143,Sep
100,How She Dominated the FAANG Data Science Interview  (@Tina Huang ) - KNN EP. 11,2020-09-02,17522,564,89,Sep
101,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,16611,770,93,Aug
102,Why I'm Starting Data Science Over Again.,2020-08-29,50404,2600,452,Aug
103,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,14532,608,76,Aug
104,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,11943,436,54,Aug
105,Don't Buy My Course..,2020-08-21,7286,356,148,Aug
106,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,28233,1093,166,Aug
107,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3147,127,40,Aug
108,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,6148,535,110,Aug
109,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,4778,182,39,Aug
110,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,9939,326,53,Aug
111,The Plagiarism Problem in Data Science,2020-08-07,12957,629,150,Aug
112,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,14076,596,89,Aug
113,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,4730,183,56,Aug
114,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,10666,564,90,Jul
115,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2284,115,34,Jul
116,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5426,250,112,Jul
117,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8073,245,200,Jul
118,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1831,98,27,Jul
119,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,27077,546,90,Jul
120,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,256080,6042,394,Jul
121,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,29202,1087,120,Jul
122,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3496,132,50,Jul
123,The Best Computer for Data Science Beginners,2020-07-10,34219,801,156,Jul
124,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,6033,229,84,Jul
125,Critiquing MY OWN Data Science Resume,2020-07-06,12224,387,90,Jul
126,Where to Start Learning Data Science,2020-07-03,18066,762,131,Jul
127,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,3943,196,37,Jul
128,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4451,175,54,Jun
129,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,15281,540,79,Jun
130,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2332,82,40,Jun
131,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2367,137,51,Jun
132,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4184,163,46,Jun
133,Why You're Struggling to Learn Data Science,2020-06-12,15021,1005,160,Jun
134,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,10303,322,70,Jun
135,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,21591,648,151,Jun
136,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5625,154,53,Jun
137,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,60222,1957,260,May
138,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,20844,487,81,May
139,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,50640,1799,176,May
140,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,11074,176,55,May
141,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,102160,3722,188,May
142,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3088,146,115,May
143,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4322,150,74,May
144,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1369001,48537,1997,May
145,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,5173,189,42,May
146,What You Need to Know for a Data Science Internship,2020-05-01,17965,1046,61,May
147,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,8065,345,57,Apr
148,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,14884,460,103,Apr
149,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,2981,84,24,Apr
150,5 Tips for Crushing the Work From Home Life,2020-04-20,5267,201,38,Apr
151,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,16159,628,122,Apr
152,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,23133,633,95,Apr
153,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,35442,763,142,Apr
154,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,60176,1664,201,Apr
155,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,63848,1523,257,Apr
